APPLE_JUICE	BLUE_BOWL	BLUE_LEGO	BLUE_MUG	BLUE_SPOON	COOKIES	ORANGE_JUICE	ORANGE_KNIFE	RED_LGO	RED_MUG
6.42106899686761	2.55130013325624	2.64562701603036	4.73345471913134	1.962606535621	5.6656745995211	8.88067786758531	10.2633131309635	9.99742754628265	7.63817932732764
7.34152523530796	3.28994334889551	3.30642663220094	4.8496998109753	2.54285486068837	6.07950597846289	8.71016537367775	9.29892549284304	9.84449269274429	7.40894186700768
7.26228053195524	3.03128020434479	3.38751420175001	5.01046833601683	2.63820312188566	6.01896777854605	8.64185479606145	9.42471806941251	9.89092809033632	7.60890972167016
6.91949982938161	3.17469408907276	3.26990045548464	5.19929563079539	2.6117149370014	6.04565831702192	9.2129299231508	9.99460544483328	10.1706013957359	7.59828742782633
7.29911516963291	3.2240546487589	3.1857231370073	5.18849957455044	2.64953219328365	5.75381335038393	8.81130801129276	9.56052389720815	9.67526051756707	7.30846144672981
7.14711375108232	2.91476079267636	2.91467278446954	5.26181682002416	2.64123568825819	5.74719252554171	9.83442914690628	10.4485078054106	10.2243813686335	7.65985931927646
7.142572888427	2.9441536976516	3.00794240321698	4.8721584417319	2.46887748020316	5.71194669839104	9.12723939662653	9.70696946643019	9.66445036000872	7.28028027206816
7.06312860919913	2.87161859309239	2.881650723867	5.0875318479015	2.32141386480434	5.82801994789092	9.29505659784194	10.0167960060794	9.87463992748594	7.60790474756874
7.4146815274183	3.31786360240315	3.53714647029228	4.65940670014788	2.86199850223744	5.72348984210311	7.52008508239227	8.38123063703766	8.80219179796724	6.92957021485958
6.08015460985804	2.55214457859081	2.70580193820898	4.19108483056608	2.09827266131615	5.13089512134357	7.90409703291997	9.62770954997975	9.48009426707617	7.28714327789099
6.42527697334036	2.85138238157126	2.90459338318408	4.26196396364719	2.24015805901256	5.35862141602181	7.70950511226946	9.15820255872851	9.41047249737516	6.94732194583373
6.26915165849566	2.52799512076857	2.71347588051099	4.27071970851581	2.02855403988597	5.35683661650531	7.8119138538899	9.52002015752202	9.32620585968097	7.15193778735181
6.11352001422654	2.61966100727011	2.58260161143412	4.38120026732577	1.97986972934763	5.55961113763798	8.72063389954557	10.4615797064111	10.1166828748008	7.54643732117313
6.45676653057071	3.00490921024832	3.14051954231027	5.26005304724543	2.38812854593788	5.73381313646892	7.74553931117079	9.14035009771617	9.21177469454853	7.31692372374909
6.10667490664672	2.54194831707157	2.5174918068221	4.24982241077715	1.95964059947498	5.46996723614363	8.8109698190579	10.6262987329452	10.2900666090269	7.72119599342249
6.92776946978191	3.16587182476974	3.28404049454759	5.14482976213509	2.70243564133529	5.81097937387879	8.32065319676442	9.34821333007218	9.59077651844199	7.52258569534971
6.74052956730923	2.6629038221145	2.88420153525976	4.68685995611577	2.29122260816363	5.73868152622529	8.81412470841486	10.1256322010163	9.92559470388876	7.55954813374304
6.99968373099352	2.83379738154734	2.91498946179024	4.77779246618155	2.29023715603329	5.78378949843144	8.8093094401544	9.70426399695129	9.88557045918208	7.45456465159382
7.20465807373011	3.09024862187747	3.23635504419695	4.64376475419567	2.4216090706159	5.75920337094431	8.49141645758274	9.23812893851009	9.61397507016327	7.14110452102282
6.66862082793829	3.03545221387644	3.00975571453718	4.04521337189487	2.50892415597848	5.12152523225577	7.5058570071837	8.4271383136516	8.65842993794266	6.956021178486
