APPLE_JUICE	BLUE_BOWL	BLUE_LEGO	BLUE_MUG	BLUE_SPOON	COOKIES	ORANGE_JUICE	ORANGE_KNIFE	RED_LGO	RED_MUG
2977.75149456764	5175.88281639971	5267.55935722589	4534.03440381121	5033.60041186884	4189.97697591315	2999.68225572733	2678.31417347749	1835.01619312614	2569.17017254292
3116.42585980328	5088.58952119785	5008.82840710461	4282.41111414966	4963.21919652191	4173.03636280692	2629.77997711411	2511.37891404665	2105.25000961366	2657.93733999466
3373.31002036036	5638.74543221954	5477.8407664863	4884.79560214013	5476.25039568472	4422.68291082199	3117.87454850625	2883.56997397796	2139.83975336688	3023.78878557025
3369.96267497776	5253.5067758159	5369.65205289065	4889.53122441632	5210.84104921395	4449.73328804045	3225.58295501427	3100.50339273859	2127.65147319778	3313.03749338109
3278.95909227879	5443.6342109663	5508.66686881493	4819.17449824114	5303.66879253042	4411.8263184803	3294.56441331611	3090.38347270794	2141.44432392683	3194.79819687855
3225.23083166393	5604.53510704675	5594.85669267223	4969.22843877783	5328.120272237	4551.56696455546	3379.14772246899	3338.52709111094	2449.10767814893	3141.20720560293
3024.92034510218	5409.2651077959	5317.66903776885	4766.14854352809	5173.89286813509	4243.34944404842	3047.09863303398	3035.68933716952	2261.7613210016	2759.66301950419
3371.45000988006	5244.30237690971	5452.97891173205	4733.99129915123	5160.78449517052	4401.09508664707	3191.99601007032	2745.98864191766	1836.27618557832	2910.51096835108
3266.77190954425	5232.74347076743	5350.43693486509	4641.31615159124	5180.81044898023	4309.1182536433	2929.38309804133	2735.4470791453	1980.50875963309	2778.76936881488
2953.32034549381	5126.09416204046	5008.79164141355	4367.65927261939	5003.40160972112	4220.45133758154	2613.07064904193	2213.22870844888	1616.85877012362	1960.61482276079
3147.72230011602	5157.77902483142	5102.07789577213	4402.06936703308	5049.48261462391	4333.89305342673	2706.88667826467	2369.15768869713	1605.62694531093	2334.69533315725
3040.72469783687	5056.15143960304	5017.47764106629	4088.08110183576	4932.59025540063	4038.12977461724	2424.43371168773	2098.26049999838	1785.30326477615	2205.25914609256
3122.01233101795	5216.51509163828	5158.8789898777	4592.74211356786	5086.57384998964	4197.8132181901	2814.43088402341	2573.39008301289	1676.35130475879	2849.70511011313
3135.09017292875	5127.90277190186	4992.18842366369	4547.57457306372	4993.78433212956	4219.07470749916	2814.28328352054	2521.3015680572	1735.48012713285	2632.34856478783
3147.13622144354	5095.22965401303	5203.64206060525	4704.68254990361	4984.85786641066	4459.99792528898	3007.02205989188	2940.74829317976	1906.9523325064	2883.14170499024
3431.34421291481	5470.82962152797	5342.39251845684	5155.15869529979	5227.93997912578	4593.22248041582	3599.48181748549	3512.0598808419	2422.50860015732	3613.56015683431
3302.64772570803	5378.16892528548	5380.53941013536	4830.90826986993	5208.17510884008	4405.48781704	3301.84621547806	3064.7897111339	2204.92602935017	3026.7728660561
3271.80743314141	5219.38609989438	5363.48725688073	4499.8526510985	5162.2972414965	4472.00944647401	3102.77655022257	2716.92151637601	1925.02139057889	2622.62510236765
3097.79237038476	4944.77949773835	5034.25787039119	4263.22260837734	5004.05636482612	4372.53191865336	2911.67045917159	2717.73831481218	1812.58849105442	2508.89045578213
2932.14695806467	4924.53665772693	4915.6974573457	4182.93137785071	4854.43518582827	4187.96871594599	2765.40021177009	2364.36565404998	1917.99966823065	2307.29686444736
