APPLE_JUICE	BLUE_BOWL	BLUE_LEGO	BLUE_MUG	BLUE_SPOON	COOKIES	ORANGE_JUICE	ORANGE_KNIFE	RED_LGO	RED_MUG
2893.21345160836	3873.5800804558	3613.74507070513	3576.1970007363	3520.82941096478	2040.02915452708	3224.47408737694	4134.15280123959	4302.24271537214	3584.90842181775
2969.24616048459	3640.30687881484	3528.59202372868	3286.4417261748	3380.27169840707	1999.60030811212	3150.54164841848	4147.33633077323	4292.28195020922	3433.14199629684
3053.16195380717	3991.93375161386	3663.50652037467	3848.51793721711	3575.164961137	2255.82912454746	3400.13396615822	4465.39490533041	4708.10505013382	4082.57798558423
3225.85728682861	3840.12291797231	3663.27667175715	3613.05967280597	3546.1415536934	2286.51029436739	3258.75453654185	4345.43721087011	4541.01345314145	3991.21125589124
3223.70131984615	4177.2898011997	3773.8519053511	3828.06679329851	3766.15798153514	2414.24477004686	3516.85139027118	4662.59789806794	4746.79788320733	4130.36849879135
3166.20127203506	4367.34709969997	3812.86396964922	3979.67269514496	3890.27942119321	2455.07634594627	3464.40248388682	4618.18932011872	4840.1161219636	4070.62822322539
3153.94691541978	3945.7280402908	3450.3708601096	3908.82380830377	3558.55777249345	2334.180901939	3394.07709814511	4379.5327063597	4689.93136630615	4084.01037738249
3312.98169360815	4000.28859766835	3611.28325906008	3986.39596584459	3615.81169716689	2392.65618695257	3560.9696797959	4499.25562661879	4855.98840549524	4134.34515947735
3048.39830425768	4007.29171523296	3598.73418234629	3786.08489330958	3665.05912487632	2342.84408166868	3236.55529948016	4248.35823892256	4548.26126389752	3637.69171140721
3347.90276010048	4396.70722758972	4136.52071877271	4181.71001374617	4135.11659793445	2664.29682938565	3565.7786032286	4564.53274112494	4808.68910101441	4097.77923768786
3357.59678090914	4284.7236221644	3908.26549067083	3991.4081538233	3784.45647707577	2441.63214531058	3420.29957744733	4405.24130085138	4738.32018470607	3994.16372400222
2919.36863066428	3953.37949527649	3566.59065041549	3628.89431020606	3506.71237654447	1987.39568716307	3166.47517485588	4166.40300118601	4415.64401095667	3616.65206337509
3278.13448975765	3939.58299374413	3637.29572917793	3582.93057818847	3485.44726316035	2121.60934939347	3114.37432331477	4272.308534616	4444.70124030359	3844.73545786891
3064.13589623162	3980.77225371907	3602.22860170392	3586.31022086647	3600.1035304948	2248.59452443004	3031.23986148311	4068.27319807821	4352.73887216964	3664.23662777678
2989.35450814082	3817.34722729874	3677.63750173827	3624.31490192225	3609.52552206294	2266.39206512296	3081.43098655456	4011.25639581015	4325.6127641889	3520.05626494094
2978.14471785339	3916.81412748291	3581.81821375233	3445.01806872808	3462.493835312	1940.31684995087	3034.38290225642	4083.80969999733	4198.79096458605	3480.61210336433
2937.3254415363	4203.34057985185	3612.333688462	3786.13932279367	3726.70360124131	2247.54426098361	3148.28499102177	4284.53161379127	4488.04062758004	3823.39039333909
2877.2787043343	3733.14999047742	3376.89143381436	3429.21199535848	3415.22472001138	2319.00604728555	2987.83226516938	4163.22083067252	4379.30887664799	3609.68841296533
3059.52616538867	3711.07139282226	3524.79241777574	3642.48197264911	3506.4986568395	2266.57562437417	3320.65709003535	4283.61918638478	4540.80287340035	3673.12357515155
3321.65365590405	4181.38504937822	3881.93249705191	4143.2321429639	3796.95954662919	2763.25016560058	3692.11308006803	4673.94957808982	4842.5998893412	4286.6389396402
