APPLE_JUICE	BLUE_BOWL	BLUE_LEGO	BLUE_MUG	BLUE_SPOON	COOKIES	ORANGE_JUICE	ORANGE_KNIFE	RED_LGO	RED_MUG
3411.01355333719	2241.7142078372	1812.48208087	2689.42207755423	2098.42807333025	3236.5769566094	4067.88377717292	5063.91802858935	5069.65159138119	4423.17175405538
3202.0614964264	1704.00606178325	1388.79031652549	1888.08488049905	1305.28589485605	2971.64085014281	3750.13209161638	4777.67918746861	4692.66767674512	4005.23765966435
3148.90573535719	1712.58736415752	1505.36491937598	1989.25467477695	1337.12037586402	2870.83639557521	3802.95949139526	4806.19387240765	4766.85561800036	3893.02284976936
3395.97523694817	1752.30544734207	1783.30297861637	1963.07223045414	1534.86846436367	3189.30589574476	4003.52338418233	5176.63555348412	4839.24526860651	4132.59402806383
3585.6219620208	1917.63459910202	1564.24845159281	2155.41333566319	1581.3554106275	3214.53839922287	4108.06491611295	5179.09252815315	4995.39479032592	4260.37904834743
3154.56331193567	1838.1306147072	1592.96323409891	2562.08048192022	1622.54899360645	3210.35675550183	3994.47652052024	4994.92603838819	5079.01729327604	4330.61723901205
3677.51203257979	1808.30048481697	1969.17604745916	2621.24044394064	1711.54358756482	3600.04265579344	4411.85060655554	5511.56606799012	5297.92362249097	4663.35048369536
3557.27331378471	1620.01724316042	1647.267626401	2259.87079321648	1452.66777070477	3214.24377703786	4115.51519408248	5127.73184205878	5094.44967510992	4328.0706504692
3448.97902416929	1819.29692257226	1541.67357884467	2289.83041897196	1521.63827617138	3141.47130185847	4028.14711749418	5013.3002941973	5066.20313025958	4258.93783090244
3460.85260616139	2384.78282226443	2163.24503551173	3011.67166509252	2311.27138075594	3372.00755326963	4265.81684156344	5275.72686877857	5205.18439033355	4560.08883808928
3313.10027695223	1800.1978023836	1621.23738198449	2323.47763918666	1568.79758277455	3051.97833318277	3867.37659144959	4795.69665549155	4868.81591759653	4146.94937569331
3336.37009077549	1792.01898287298	1796.10921950645	1889.6970434721	1584.06968479616	3047.17078776717	3863.78674885587	4914.38649761774	4944.87912889201	4013.72794310819
3376.05734010661	1870.40167081584	1718.57957917957	2188.31447890832	1597.38564752552	3180.17713676875	4026.78607552767	4901.70672738118	4834.23993038586	4070.68882925703
3566.83871726011	1805.64102295972	1929.28069109085	2736.5110657122	2052.24353373677	3511.29055614358	4423.11917542905	5268.96897687415	5331.36852900751	4526.67122794529
3711.49349134426	1856.99780663716	2041.02419319663	2660.32700025403	1809.83146237563	3579.19169329538	4478.3198341829	5494.47414223213	5322.44442785832	4652.01674158994
3502.47793442127	1807.74301532746	1765.16432565958	2417.65642048535	1473.23397349884	3126.55672974914	3983.93044515044	5048.07611253331	5035.96052709453	4395.4042009137
3602.90888074126	2029.44957751783	1872.90511498276	2638.02202386701	1809.57554928812	3327.89777091135	4210.31611361299	5192.63355443944	5140.23527950022	4566.4091127927
3158.33092613347	1754.96815850014	1529.30877699935	2325.02875886267	1530.85325795668	2954.53803038314	3749.71408942838	4664.39327018791	4786.25496477298	4043.10423767665
3201.30077984311	1559.1140971996	1420.83273575223	1911.77206190207	1333.3086378548	2799.96972339079	3769.16818369105	4778.69979653629	4751.94789959893	3908.39871075453
3644.97559636223	1831.39527841334	1903.74174280556	2652.87985238838	1664.99168681143	3533.38317234464	4350.20474269318	5467.61287894899	5393.15229626153	4695.02302768898
