APPLE_JUICE	BLUE_BOWL	BLUE_LEGO	BLUE_MUG	BLUE_SPOON	COOKIES	ORANGE_JUICE	ORANGE_KNIFE	RED_LGO	RED_MUG
2157.72077675168	3820.60898685063	3687.16686648683	3401.47552049941	3696.47207241736	2969.93114877128	2717.72209245309	3663.95069010593	3519.45451555882	3145.5788915397
2071.65652022409	3889.01049258137	3770.61910314536	3609.03828155136	3634.40402872116	3074.42359702533	2763.73281656183	3761.17820078042	3785.34626026347	3343.66259138206
2131.19927423166	3861.16647844031	3824.67218958528	3397.71523818078	3649.85407703439	3079.09608508886	2730.13647285917	3807.98633560696	3731.70722451948	3552.95374916125
2088.56169992524	3684.50723921188	3529.23630577587	3143.59444576441	3413.64845596755	3028.56451800524	2553.8921647638	3630.74455973262	3640.77222838373	3017.06527349116
1870.22786375349	3799.4206860937	3634.89205989253	3245.9764770815	3502.38013792553	2854.3847570448	2385.78398874435	3260.19628603798	3460.01497939849	2785.84959629657
2013.94951544081	3843.23913258647	3779.9932234132	3549.5683193123	3652.92324343638	2934.28566039188	2613.48618987625	3453.25166016111	3453.78198944869	3140.8273616663
2035.48446912355	3949.34706299247	3803.0814565138	3751.49883722733	3725.46198920528	3038.52467883607	2823.58480707338	3805.1257424251	3638.51426643253	3442.74027196682
2139.75525745463	4059.07885885595	4082.10018855883	3745.44023339891	3906.32297616677	3261.65096902084	2919.48624043592	3914.79253891148	3684.62269375574	3539.59673670799
2069.21009735091	4071.13932089093	3897.94454105738	3437.77495979362	3833.94199943594	3093.50749646651	2559.93700500777	3708.82381592746	3615.45803687815	3323.77274422916
2226.89687514781	4090.84329737091	4115.82555221912	3667.55804224116	3801.39698668023	3277.58647001195	2644.64851620685	3712.5706626635	3612.2549056437	3455.0738661552
2106.24122799845	4137.37093962934	3953.23131665817	3851.3693875428	3886.35091169031	3206.33682473391	2859.88746448782	3808.06536136204	3788.5438051885	3561.9299316332
2161.72771321887	4141.51273945224	3937.26747697862	3774.38650677563	3875.39331818722	3151.7361067633	2817.21799314093	3830.97592026873	3769.10151293385	3463.60523583919
2193.09917576581	3852.29814492952	3853.90024978781	3438.34526994304	3609.09993510671	3027.29121137188	2751.47036490852	3647.41091489967	3744.32302650617	3222.40310644848
2108.88235237841	3972.43387518471	3770.96461253536	3613.94842091361	3734.08063140258	2913.31040810812	2898.8670295613	3836.55308194739	3855.6694170752	3544.22510381784
2207.50920041513	3874.58259237972	3843.96327247753	3209.91680803933	3490.44066121297	2772.35700802619	2630.17397023098	3816.79755444752	3724.07106990453	3213.26696978216
2349.39940911973	4095.58159440614	4057.21232854355	3471.95468653165	3813.31161329302	3092.79360816255	2827.60518159325	3827.30974756579	4031.43254905946	3511.21924516856
2227.00882449803	3671.16576777775	3537.63843917392	3142.68141235135	3533.27696286007	3003.2357418834	2720.78724835087	3867.14974548164	3914.33670586207	3279.54239276469
2199.42328448193	4044.29912275789	3797.22778650164	3462.32237806113	3710.86525993111	3095.66131623584	2682.10706997619	3703.04431163267	3749.64257946703	3374.15552810979
2435.8262956512	3891.79420076794	3844.57882643608	3415.0472458536	3698.39693926794	3150.05628891723	2947.8609967585	3695.30971964916	3726.56749902249	3445.35054071361
2480.17896398948	4005.24592628863	4026.86807982085	3645.33865801024	3804.98667522448	3189.89187812978	2991.14501766552	3553.76363162024	3457.79828276865	3360.93595217318
