APPLE_JUICE	BLUE_BOWL	BLUE_LEGO	BLUE_MUG	BLUE_SPOON	COOKIES	ORANGE_JUICE	ORANGE_KNIFE	RED_LGO	RED_MUG
2608.39303783628	4605.69802098322	4526.15413571605	3675.48025633002	4438.92034086597	3590.92265978905	1895.19915780201	3087.89306842957	2866.32434363581	2960.86783799185
2543.71396265612	4479.10547485278	4362.69372566616	3536.53642548462	4349.38046542925	3442.06316728853	1726.6466405654	2953.83266232877	2859.7236500025	2883.2169333661
2631.18061418667	4657.50633142285	4555.89009347807	3803.01362130462	4474.34445486415	3404.37189499382	1723.81132287399	2900.57411964358	2913.13584228347	2895.90373923787
2555.29724120367	4575.76517850532	4385.79923283992	3804.30786526914	4357.07081681484	3309.53394963032	1665.49664840647	2778.62140376799	2772.45537917932	2857.5490945587
2369.02375304462	4382.30268879707	4281.06462761433	3497.00880672917	4149.97134615439	3240.02720608846	1831.06925884201	2780.50367382531	2892.44605556445	2705.35746158143
2344.8836141607	4286.79448260877	4169.42340737874	3376.16957132196	4035.88454530209	3032.00376148002	1708.6418207103	2869.1105627679	2891.12723225496	2712.9633234795
2754.97613584542	4814.31013525953	4653.1190667068	3954.81555657334	4515.27735507244	3591.90419225087	2132.78950006237	3182.19020503581	3193.69934772422	2943.93641697168
2638.25176511874	4690.0869315304	4494.45541946647	3900.93438753723	4395.19818966277	3429.59191365806	2163.34504174152	3185.05251547172	3286.26556793511	3095.48178235291
2623.73087722842	4630.18681887017	4289.15779145656	3770.63644925264	4375.9130093903	3314.55113197547	1978.11002516634	3256.78085275197	3420.54455152359	3195.45616628505
2784.92252261197	4644.88629732404	4544.70685548687	3822.87018424361	4444.52272537407	3555.30906945345	2215.84766930911	3538.75027866365	3739.50888797015	3418.88000868541
2422.14312464783	4457.00297200928	4238.02566839369	3555.77379985518	4166.65239430235	3123.65345916504	2169.43795320637	3325.13267257009	3407.31158102634	3124.30171198734
2481.51935245665	4279.29921488826	4110.54681029183	3588.74784201859	4119.10689899362	3168.95343782635	2270.36834926161	3085.96012673043	3288.24177732596	3086.99314740445
2770.69666838333	4684.47621439364	4685.11321123722	3878.29057119068	4468.04332832884	3534.65475774118	2097.19971798974	3391.25711748468	3383.00468089914	3312.40789107498
2535.54577584682	4460.95449552947	4435.48985605751	3622.84454370098	4283.64336859209	3258.34968347119	1902.8582975801	3103.3164539966	3217.40805283952	3006.49101285218
2590.81518890622	4498.0543241212	4503.0319605849	3517.65325302178	4392.90792145257	3308.30926640536	1925.94658790483	2976.14468727266	3179.10954129541	2945.7560095976
2486.91634715252	4335.971996147	4236.27997036002	3391.35407846312	4155.12676407565	3212.59516880436	1730.84883192235	2857.54778337807	2941.91618474509	2708.76807079631
2368.33317003959	4284.49492370695	4216.24610371392	3357.10787507819	4144.65395024142	3124.6720666383	1841.93407753072	2715.83494731148	2886.88316490325	2587.11300426089
2482.05561528586	4353.26450814196	4292.19765727507	3463.06542468768	4132.23248373912	3362.77905512547	1812.42576767541	2952.22898531184	3126.43901885313	2826.79867279044
2315.6163283353	4301.49664456014	4192.91029827645	3343.7782131058	4067.94840791234	3109.04040280194	1869.12179458589	2786.36407571134	2826.20741113289	2934.07851767859
2343.43438158489	4422.15677525737	4237.34215900743	3548.08615966474	4140.17551763808	3155.76371830887	1933.02888808898	2828.69835969976	2940.5513668732	2878.37517458287
