APPLE_JUICE	BLUE_BOWL	BLUE_LEGO	BLUE_MUG	BLUE_SPOON	COOKIES	ORANGE_JUICE	ORANGE_KNIFE	RED_LGO	RED_MUG
2967.2139652389	2738.04187877243	2836.74434691164	1651.84711488619	2716.90273381849	2953.72378711629	2873.30926112325	4071.16749133593	4092.74175259585	3398.80861836982
2832.55405202245	2379.43518502064	2312.15624700167	1322.05148005664	2278.22377671482	2763.70925369113	2882.46224596044	4108.64577419532	4041.07855199942	3359.97281635658
2851.66044221532	2341.70471349238	2333.66722239188	1252.18078288376	2222.04914663616	2641.68534464407	2960.82971815026	3961.60009391624	3945.97403685404	3237.72362593671
2966.62100873768	2336.48553513621	2439.18861908109	1327.51697787224	2307.99734520345	2834.78404075196	3037.18425907828	4271.4216906725	4331.24104441869	3467.40613569033
2923.02252752445	2155.45875831585	2220.78280232907	1778.97694706482	2081.71218384516	2758.85461593254	3152.33406300555	4343.45426312502	4280.44850321524	3492.40975099457
3125.34695889453	2081.55997649672	2251.7429899742	1626.82309090771	1956.46873075228	3035.9614537041	3450.8333613736	4851.78674864048	4623.7245866825	3848.55706534939
3254.61478555653	2093.45380756741	2408.04201198404	1599.13831624527	2083.06489454739	3198.44636904511	3551.62307737855	4779.18473925235	4541.37889340214	3801.59486160979
3328.18788793983	2284.60474448378	2394.86412840582	1810.48502441416	2208.16804227565	3083.31679586192	3486.70412387024	4692.32417334209	4528.15393132556	3888.29344977693
3289.0337639753	1965.96846479827	2205.49801792799	1513.07264972396	1999.87090623108	2977.38835213105	3483.0547679452	4648.76752943341	4529.72724265836	3763.95680320395
3146.32952180246	2044.68456894834	2147.56880973274	1605.97815215518	1893.18196380045	2866.06527313057	3431.73157169757	4427.93765823987	4488.87606254161	3634.49042571329
2948.275083098	2435.4528271297	2647.54632056824	1641.01002308982	2355.50683479966	2970.8529570521	3028.74531562693	4249.3806745976	4250.32152420321	3356.61644652438
2919.94582016261	2549.02332096518	2713.14609911951	1657.51170999759	2467.30697385441	2893.64922693586	2898.32315564384	4145.6237108971	4122.86305842367	3407.13637954305
3067.79394386745	2772.10794677725	2733.27167014366	1695.92305040512	2688.69674846817	3040.74612833331	2988.47232879493	4207.98545993	4232.80701825758	3345.68945383637
2990.16051192073	2780.33003974097	2984.21912987681	1570.40952186399	2710.2205265457	2930.60163122985	3003.55154859981	4250.96980439021	4306.83982225479	3505.80934573541
2769.77790158587	2280.90288233149	2184.21973355397	1306.28036253447	2157.24958921327	2662.6875443852	2894.30196483683	3985.87506300166	4006.61681306053	3205.22167814372
2923.5418868925	2214.3068430395	2273.52957499556	1423.41816858643	2166.6099136064	2789.3675140903	3006.13731624128	4279.28471513002	4173.50468611017	3421.77899327237
3065.27702173284	2118.11005100986	2126.73798258805	1643.40347435354	1976.19476422571	2920.38105108368	3320.32855598883	4539.2737473493	4338.5361363612	3607.80767334463
3213.34602817054	2071.50501215505	2355.22641268098	1826.92552625433	2033.88648906754	3001.16097490503	3501.68091477176	4676.34342176605	4508.73846895983	3878.24203089423
3468.09558654456	1904.55883757254	2179.99578648176	1743.40571481616	1662.05303711861	3335.7087048436	3912.10216318784	5156.17595035252	4915.97609743055	4082.05706474799
3252.07107436663	2050.14895524657	2456.33531419978	1808.76527143973	1901.62603943708	3156.54524230023	3622.09673583505	4893.0175937271	4650.93385913244	4001.30215208095
