APPLE_JUICE	BLUE_BOWL	BLUE_LEGO	BLUE_MUG	BLUE_SPOON	COOKIES	ORANGE_JUICE	ORANGE_KNIFE	RED_LGO	RED_MUG
2605.89746749242	4475.54035679106	4507.3582173841	3453.17612514941	4475.48293931871	3232.33656259919	2397.9393022849	2530.48953543445	2699.27793387915	1635.45845222983
2419.58218048149	4257.8747073024	4218.65501108355	3288.1946719325	4250.25657613704	3137.69786689119	2204.47215024524	2435.67011540713	2407.15870898688	1519.76153071693
2554.15680605197	4659.16171154528	4679.02814503335	3647.68324737638	4668.95007721345	3762.6828361247	2451.14214609988	2830.47733411787	2352.80052642794	1804.05468266293
2700.45605066966	4801.00214413139	4832.92509351862	3960.17210390656	4704.00514600935	3924.15768671354	2552.86009389849	2367.89132267979	2120.03061924064	1972.83754670853
2896.21342027999	4927.72835727142	4981.48450611091	4189.17926126814	4995.93895086462	4101.85093852006	2525.32160331188	2228.11197241858	1901.35895790377	1911.81035158023
2811.92105207903	4911.92624483862	4890.25621377963	4045.53742469034	4935.45022897695	3973.789611842	2436.75871399654	2465.29579770809	2307.69412169759	1977.03608863039
2441.11322088549	4415.23084596955	4422.83104306627	3433.6763354374	4368.50450626036	3459.7671295077	2373.1870134381	2701.2748221846	2650.44665090377	1789.23627814692
2690.68854842276	4408.77580886114	4385.81865799326	3414.90460563902	4332.5169089667	3367.80726160619	2687.53570051581	3171.93780352803	3177.99251400346	2248.19821175542
2677.65995839462	4350.56350000433	4417.22938039862	3501.29166586918	4273.2386856254	3207.75017619332	2431.91391095472	3181.67637779196	3089.48837580332	1924.7908454359
2433.51845399359	4256.22106552798	4242.44691339391	3303.57648239565	4270.28168569803	3156.7301745155	2456.83614940186	2723.13424805679	2675.25756319743	1706.8587457614
2357.81335543665	4191.24491199765	4122.26580955406	3276.65029851924	4186.2293111555	3146.5898262395	2386.3852779361	2718.58488039967	2647.66926030499	1719.73479567813
2278.42351045592	3957.50132033733	3973.03302644549	2884.10962865187	3939.00121233476	3014.58042434074	2158.13673620477	2621.7244503607	2530.66269654018	1513.61380592401
2572.1270772824	4374.79348835778	4454.68738658847	3384.11255576489	4389.83239146031	3346.99485945509	2529.02371377362	2696.42257805586	2709.5031524133	1569.70638828838
2638.028484437	4585.60831029687	4588.59053167112	3602.92939658184	4531.17888812061	3593.0951751273	2422.26077609076	2651.84761072559	2353.55152964525	1708.84181589234
2617.15219066691	4604.05913395847	4587.32510892226	3540.12543910598	4532.16645968347	3616.49438601132	2502.37294076273	2719.20671460786	2519.02960410108	1720.04585337735
2934.5346169767	4682.79174458677	4814.23609979814	3831.62818687047	4675.14027459378	3842.48685206225	2712.50274692407	2782.63417548841	2603.98064646592	2038.38834811824
2881.78363446906	4773.53222352893	4978.90329670543	3908.48551261575	4662.43515808436	4021.1989693602	2781.54452728772	2902.32112112855	2548.28901082881	2381.64416679258
2753.36405651353	4546.10178908878	4683.3430771739	3772.33714412771	4557.94743643796	3911.29289593241	2617.04062990209	2435.49439132972	2322.99098077037	1960.85900967862
2895.54303657144	4641.60113454327	4733.33892540921	3835.52011256729	4733.28983199759	4019.90884552397	2807.03889215527	2603.18066049226	2383.51737829334	2150.73226714824
3027.1291640973	4913.81464241718	4924.93924284278	3952.91278709073	4870.6450427256	4193.43499536318	2787.94050502611	2408.85810387987	2297.80977061187	1981.48642724282
